1653696000,75.63,288.87,San Francisco
1653782400,77.16,289.14,San Francisco
1653868800,78.27,288.38,San Francisco
1653955200,76.67,288.54,San Francisco
1654041600,78.22,289.2,San Francisco
1654128000,76.07,289.99,San Francisco
1654214400,74.79,290.85,San Francisco
1654300800,76.13,290.37,San Francisco
1654387200,75.52,289.36,San Francisco
1654473600,78.65,288.76,San Francisco
1654560000,73.73,288.5,San Francisco
1654646400,70.74,290.03,San Francisco
1654732800,67.97,291.37,San Francisco
1654819200,67.37,290.79,San Francisco
1654905600,71.11,290.56,San Francisco
1654992000,72.96,290.94,San Francisco
1655078400,77.25,289.89,San Francisco
1655164800,77.82,289.95,San Francisco
1655251200,75.63,289.44,San Francisco
1655337600,75.11,289.74,San Francisco
1655424000,72.19,290.61,San Francisco
1655510400,72.4,291.64,San Francisco
1655596800,75.59,290.94,San Francisco
1655683200,78.15,290.09,San Francisco
1655769600,77.18,289.89,San Francisco
1655856000,75.62,290.73,San Francisco
1655942400,74.23,291.19,San Francisco
1656028800,77.59,290.82,San Francisco
1656115200,78.25,290.59,San Francisco
1656201600,80.17,291.12,San Francisco
